age,gender,2019,2018,2017,2016,2015
0,male,1435,1440,1517,1506,1583
1,male,79,91,89,99,108
2,male,49,44,51,48,59
3,male,33,39,43,50,47
4,male,27,41,37,31,43
5,male,30,31,38,40,28
6,male,40,33,28,23,31
7,male,21,30,31,26,35
8,male,19,26,29,21,24
9,male,19,17,33,27,29
10,male,27,35,21,25,35
11,male,30,36,25,30,37
12,male,43,36,35,34,29
13,male,51,41,38,28,33
14,male,36,46,34,45,32
15,male,45,68,56,50,59
16,male,66,69,77,71,64
17,male,83,110,108,97,100
18,male,117,152,129,130,142
19,male,147,162,144,149,169
20,male,202,182,168,181,167
21,male,196,199,167,185,181
22,male,192,189,173,195,191
23,male,182,196,173,209,209
24,male,207,215,185,220,222
25,male,223,211,222,242,255
26,male,229,232,212,250,205
27,male,255,243,230,234,230
28,male,274,270,255,261,244
29,male,288,286,255,267,237
30,male,313,297,254,295,248
31,male,316,341,285,306,258
32,male,319,291,305,344,358
33,male,354,367,321,337,328
34,male,344,362,345,353,365
35,male,380,399,376,380,372
36,male,383,410,449,428,415
37,male,478,492,469,395,383
38,male,482,469,423,419,434
39,male,516,490,462,457,456
40,male,556,525,485,495,518
41,male,503,537,587,580,571
42,male,538,650,605,598,664
43,male,597,717,702,757,691
44,male,705,756,713,854,800
45,male,819,882,856,830,818
46,male,894,976,899,912,910
47,male,1005,1045,1051,1078,1046
48,male,1084,1096,1103,1123,1064
49,male,1184,1252,1269,1207,1223
50,male,1354,1321,1303,1348,1425
51,male,1440,1458,1410,1399,1359
52,male,1515,1586,1547,1499,1422
53,male,1668,1720,1552,1580,1543
54,male,1797,1785,1712,1639,1615
55,male,1899,1909,1789,1891,1776
56,male,2141,1995,1986,1916,1913
57,male,2141,2213,2102,1930,2055
58,male,2288,2306,2183,2152,2090
59,male,2405,2332,2367,2301,2145
60,male,2553,2518,2526,2489,2465
61,male,2667,2710,2600,2625,2646
62,male,2923,2838,2777,2830,2802
63,male,3019,3092,3079,3129,3103
64,male,3171,3197,3352,3272,3402
65,male,3517,3532,3448,3598,3640
66,male,3728,3800,3874,3963,4050
67,male,3957,4064,4269,4321,4676
68,male,4344,4609,4655,5061,5284
69,male,4832,5227,5330,5741,4696
70,male,5232,5861,6056,5104,5012
71,male,6195,6606,5378,5508,5467
72,male,6847,5747,5874,5795,5586
73,male,6144,6361,6345,5885,5470
74,male,6529,6721,6447,5896,5730
75,male,7092,6893,6330,6014,6380
76,male,7163,6682,6496,6589,6915
77,male,6828,6871,6991,7287,7320
78,male,7078,7514,7636,7764,7461
79,male,7822,8081,8078,7930,7847
80,male,8489,8577,8461,8155,8281
81,male,8795,8920,8669,8454,8259
82,male,8951,8905,8869,8554,8821
83,male,9137,9181,8946,8897,9249
84,male,9364,9152,9204,9260,9323
85,male,9141,9183,9339,9307,9395
86,male,9087,9576,9366,9024,9039
87,male,8935,9334,9103,8517,8515
88,male,8883,8901,8435,8155,8303
89,male,8340,8296,7765,7727,7650
90,male,7405,7372,7338,7174,7134
91,male,6655,6644,6727,6186,6386
92,male,5725,5871,5739,5316,5417
93,male,4950,4853,4697,4665,4753
94,male,4081,4021,3812,3858,4173
95,male,3159,3128,3258,3204,3021
96,male,2449,2544,2610,2368,1664
97,male,1792,1907,1828,1227,1139
98,male,1346,1293,859,783,892
99,male,964,635,602,559,631
100,male,398,382,397,444,474
101,male,221,249,245,259,283
102,male,151,152,183,149,172
103,male,80,103,75,86,98
104,male,37,61,47,54,51
105,male,61,47,50,51,39
0,female,1119,1131,1190,1205,1138
1,female,78,81,60,93,92
2,female,51,30,50,55,44
3,female,34,36,32,33,41
4,female,27,17,30,34,26
5,female,31,37,26,20,24
6,female,33,25,27,25,24
7,female,21,22,26,20,29
8,female,19,23,26,13,27
9,female,18,26,15,25,23
10,female,26,27,14,20,18
11,female,17,20,26,27,17
12,female,13,16,28,22,22
13,female,32,25,21,23,37
14,female,34,28,28,31,35
15,female,30,40,27,35,50
16,female,40,42,50,44,49
17,female,50,45,49,48,50
18,female,76,67,66,72,70
19,female,66,76,61,63,79
20,female,59,68,60,71,74
21,female,70,78,70,85,62
22,female,91,85,64,80,71
23,female,76,65,80,73,94
24,female,93,82,71,95,79
25,female,86,116,90,98,89
26,female,108,100,98,97,110
27,female,121,112,103,115,97
28,female,118,132,119,131,111
29,female,129,121,112,128,147
30,female,154,154,124,161,146
31,female,165,137,156,153,139
32,female,162,181,174,190,172
33,female,179,173,197,189,167
34,female,220,231,185,213,190
35,female,217,225,215,215,218
36,female,227,233,244,245,248
37,female,298,290,303,239,246
38,female,285,296,252,248,266
39,female,304,303,278,263,288
40,female,341,263,312,304,327
41,female,316,313,353,345,322
42,female,367,359,368,375,429
43,female,380,418,414,430,426
44,female,457,482,481,523,495
45,female,534,536,528,605,566
46,female,600,623,607,601,634
47,female,640,699,654,682,644
48,female,717,782,715,707,723
49,female,765,814,786,770,777
50,female,887,849,892,854,881
51,female,967,952,961,996,929
52,female,1042,1020,1079,1062,1011
53,female,1041,1130,1118,1109,1120
54,female,1195,1143,1168,1199,1153
55,female,1296,1291,1236,1265,1186
56,female,1382,1390,1298,1366,1256
57,female,1461,1498,1311,1427,1319
58,female,1527,1602,1463,1517,1383
59,female,1613,1644,1554,1663,1570
60,female,1744,1765,1656,1666,1693
61,female,1799,1831,1792,1762,1772
62,female,2100,1997,1901,2046,1929
63,female,2082,2104,2083,2110,2096
64,female,2168,2253,2278,2220,2185
65,female,2415,2506,2337,2400,2467
66,female,2493,2595,2607,2840,2790
67,female,2701,2771,2967,3057,3234
68,female,3007,3231,3246,3478,3844
69,female,3321,3513,3830,4106,3297
70,female,3865,4224,4277,3606,3620
71,female,4256,4654,3818,3944,3954
72,female,5045,4319,4234,4422,4001
73,female,4662,4557,4726,4453,4222
74,female,4929,5130,4697,4378,4323
75,female,5188,5314,4913,4509,4828
76,female,5489,5255,5084,5389,5429
77,female,5613,5540,5595,5781,5704
78,female,5740,6204,6431,6366,6167
79,female,6726,6882,6793,6520,6741
80,female,7312,7332,7299,7168,7382
81,female,7771,8003,7678,7576,7897
82,female,8204,8292,8298,8102,8413
83,female,8787,9113,8737,8842,9286
84,female,9237,9211,9497,9498,10197
85,female,9588,9851,10123,10268,10581
86,female,10037,10629,10867,10689,10810
87,female,10505,11273,11055,10833,10977
88,female,10882,11533,11121,10743,11265
89,female,10860,11034,10837,10840,11346
90,female,10530,10889,10726,10654,11306
91,female,9917,10487,10460,10297,10693
92,female,9318,9886,9824,9715,10288
93,female,8453,9111,9016,8944,9756
94,female,7574,8162,8259,8123,9360
95,female,6769,7150,7565,7588,7633
96,female,5799,6166,6747,6254,4635
97,female,4814,5328,5121,3598,3535
98,female,4032,4015,2868,2593,3030
99,female,2971,2057,2069,2155,2438
100,female,1475,1484,1636,1653,1864
101,female,944,1161,1177,1290,1367
102,female,740,809,850,803,820
103,female,466,493,582,493,537
104,female,309,323,338,316,304
105,female,399,388,415,352,372
