country,age,date,afr,gender,fertility_rate
Germany,15-19,2002,0.011887562865253,Female,11.887562865253
Germany,15-19,2003,0.0111245286313808,Female,11.1245286313808
Germany,15-19,2004,0.0106468435195167,Female,10.6468435195167
Germany,15-19,2005,0.0103481968696769,Female,10.348196869676901
Germany,15-19,2006,0.0100911043405266,Female,10.0911043405266
Germany,15-19,2007,0.0100252857592416,Female,10.0252857592416
Germany,15-19,2008,0.00959960415685144,Female,9.59960415685144
Germany,15-19,2009,0.00915763399496631,Female,9.15763399496631
Germany,15-19,2010,0.00865381204131594,Female,8.653812041315941
Germany,15-19,2011,0.00803317406034267,Female,8.03317406034267
Germany,15-19,2012,0.00772467228031788,Female,7.72467228031788
Germany,15-19,2013,0.00756810957567389,Female,7.56810957567389
Germany,15-19,2014,0.00752357214284738,Female,7.52357214284738
Germany,15-19,2015,0.00753634019866123,Female,7.53634019866123
Germany,15-19,2016,0.00757110788212131,Female,7.57110788212131
Germany,15-19,2017,0.00753079181589533,Female,7.53079181589533
Germany,15-19,2018,0.00745020410048324,Female,7.45020410048324
Germany,15-19,2019,0.00740886073686626,Female,7.408860736866259
Germany,20-24,2002,0.0511585165726073,Female,51.158516572607304
Germany,20-24,2003,0.0498733370040486,Female,49.8733370040486
Germany,20-24,2004,0.0485861832563604,Female,48.5861832563604
Germany,20-24,2005,0.0463287515371278,Female,46.3287515371278
Germany,20-24,2006,0.0445712096739288,Female,44.571209673928806
Germany,20-24,2007,0.0429764724057015,Female,42.9764724057015
Germany,20-24,2008,0.040484139451506,Female,40.484139451506
Germany,20-24,2009,0.0390707520790163,Female,39.0707520790163
Germany,20-24,2010,0.0377578976898136,Female,37.7578976898136
Germany,20-24,2011,0.036238724865237,Female,36.238724865237
Germany,20-24,2012,0.03489811039132,Female,34.89811039132
Germany,20-24,2013,0.033499703184614,Female,33.499703184614006
Germany,20-24,2014,0.0331085961350306,Female,33.1085961350306
Germany,20-24,2015,0.0331316981269921,Female,33.1316981269921
Germany,20-24,2016,0.0332476816698302,Female,33.2476816698302
Germany,20-24,2017,0.0329955880475966,Female,32.9955880475966
Germany,20-24,2018,0.0324340868250746,Female,32.4340868250746
Germany,20-24,2019,0.0319981091324623,Female,31.9981091324623
Germany,25-29,2002,0.0865979596611129,Female,86.59795966111291
Germany,25-29,2003,0.086094053476557,Female,86.09405347655701
Germany,25-29,2004,0.0843320041515121,Female,84.3320041515121
Germany,25-29,2005,0.0820039035951015,Female,82.0039035951015
Germany,25-29,2006,0.0822051384786817,Female,82.2051384786817
Germany,25-29,2007,0.0827048911068768,Female,82.7048911068768
Germany,25-29,2008,0.0810059511363441,Female,81.0059511363441
Germany,25-29,2009,0.0804305310031426,Female,80.43053100314259
Germany,25-29,2010,0.0794838899958175,Female,79.4838899958175
Germany,25-29,2011,0.0774017569212735,Female,77.4017569212735
Germany,25-29,2012,0.0758991170852,Female,75.8991170852
Germany,25-29,2013,0.0754386165667143,Female,75.4386165667143
Germany,25-29,2014,0.0759831359017334,Female,75.9831359017334
Germany,25-29,2015,0.0758296500688719,Female,75.82965006887191
Germany,25-29,2016,0.0758742238159102,Female,75.8742238159102
Germany,25-29,2017,0.0756703513133908,Female,75.6703513133908
Germany,25-29,2018,0.0753747102854887,Female,75.3747102854887
Germany,25-29,2019,0.07528324965668,Female,75.28324965668
Germany,30-34,2002,0.0804895288427492,Female,80.4895288427492
Germany,30-34,2003,0.082812868429215,Female,82.812868429215
Germany,30-34,2004,0.084348272851078,Female,84.34827285107801
Germany,30-34,2005,0.0840487941331165,Female,84.0487941331165
Germany,30-34,2006,0.0862408667557073,Female,86.2408667557073
Germany,30-34,2007,0.0892961066017113,Female,89.2961066017113
Germany,30-34,2008,0.0894839525215028,Female,89.4839525215028
Germany,30-34,2009,0.0907499836058337,Female,90.74998360583369
Germany,30-34,2010,0.0922044755975746,Female,92.2044755975746
Germany,30-34,2011,0.0926655657020969,Female,92.6655657020969
Germany,30-34,2012,0.0937615637334214,Female,93.7615637334214
Germany,30-34,2013,0.0961118233916529,Female,96.1118233916529
Germany,30-34,2014,0.0985583043939471,Female,98.5583043939471
Germany,30-34,2015,0.0993448589125016,Female,99.34485891250159
Germany,30-34,2016,0.10006854104632,Female,100.06854104632001
Germany,30-34,2017,0.100892992641228,Female,100.892992641228
Germany,30-34,2018,0.101682629377948,Female,101.682629377948
Germany,30-34,2019,0.101920761288047,Female,101.920761288047
Germany,35-39,2002,0.0329385755187013,Female,32.9385755187013
Germany,35-39,2003,0.0349661232711443,Female,34.966123271144305
Germany,35-39,2004,0.0364767496015075,Female,36.4767496015075
Germany,35-39,2005,0.0373170974260315,Female,37.3170974260315
Germany,35-39,2006,0.039961295321588,Female,39.961295321588
Germany,35-39,2007,0.0430511739900036,Female,43.0511739900036
Germany,35-39,2008,0.0442592800659269,Female,44.2592800659269
Germany,35-39,2009,0.0461242519634025,Female,46.1242519634025
Germany,35-39,2010,0.0480475126248101,Female,48.0475126248101
Germany,35-39,2011,0.0491888430114598,Female,49.1888430114598
Germany,35-39,2012,0.0508462239942832,Female,50.8462239942832
Germany,35-39,2013,0.0531212489787406,Female,53.121248978740596
Germany,35-39,2014,0.0552746059836977,Female,55.2746059836977
Germany,35-39,2015,0.0561242623360528,Female,56.124262336052794
Germany,35-39,2016,0.0567025240330288,Female,56.7025240330288
Germany,35-39,2017,0.0572371733544235,Female,57.2371733544235
Germany,35-39,2018,0.0576999367623953,Female,57.6999367623953
Germany,35-39,2019,0.057702655482452,Female,57.702655482452
Germany,40-44,2002,0.00535978360775064,Female,5.359783607750639
Germany,40-44,2003,0.00557601114309764,Female,5.57601114309764
Germany,40-44,2004,0.00594061049972304,Female,5.940610499723039
Germany,40-44,2005,0.00635748155251939,Female,6.35748155251939
Germany,40-44,2006,0.00686661848043252,Female,6.866618480432519
Germany,40-44,2007,0.00746352253849654,Female,7.46352253849654
Germany,40-44,2008,0.00791205221086531,Female,7.91205221086531
Germany,40-44,2009,0.00823796434832477,Female,8.23796434832477
Germany,40-44,2010,0.00849432453022559,Female,8.49432453022559
Germany,40-44,2011,0.00866483389572872,Female,8.664833895728721
Germany,40-44,2012,0.00894898796385069,Female,8.94898796385069
Germany,40-44,2013,0.00947565958522611,Female,9.47565958522611
Germany,40-44,2014,0.0100696519612087,Female,10.0696519612087
Germany,40-44,2015,0.0104008193734566,Female,10.4008193734566
Germany,40-44,2016,0.0106019708068383,Female,10.601970806838299
Germany,40-44,2017,0.0107128950747061,Female,10.7128950747061
Germany,40-44,2018,0.0107673405945842,Female,10.7673405945842
Germany,40-44,2019,0.0107120252086374,Female,10.712025208637401
Germany,45-49,2002,1.98963052610573e-4,Female,0.19896305261057298
Germany,45-49,2003,2.14086125748759e-4,Female,0.21408612574875902
Germany,45-49,2004,2.30625376992443e-4,Female,0.23062537699244298
Germany,45-49,2005,2.48902476143335e-4,Female,0.248902476143335
Germany,45-49,2006,2.70733691454891e-4,Female,0.270733691454891
Germany,45-49,2007,2.94675977712519e-4,Female,0.294675977712519
Germany,45-49,2008,3.18212829300099e-4,Female,0.318212829300099
Germany,45-49,2009,3.39296989804139e-4,Female,0.33929698980413897
Germany,45-49,2010,3.57412647632463e-4,Female,0.357412647632463
Germany,45-49,2011,3.77002749104805e-4,Female,0.377002749104805
Germany,45-49,2012,3.98386860463486e-4,Female,0.398386860463486
Germany,45-49,2013,4.20270863278403e-4,Female,0.420270863278403
Germany,45-49,2014,4.47344530641898e-4,Female,0.447344530641898
Germany,45-49,2015,4.73669886224107e-4,Female,0.473669886224107
Germany,45-49,2016,4.90226566138649e-4,Female,0.49022656613864896
Germany,45-49,2017,4.98219310569945e-4,Female,0.498219310569945
Germany,45-49,2018,5.01176875228937e-4,Female,0.501176875228937
Germany,45-49,2019,4.98667651726242e-4,Female,0.49866765172624206
Germany,50-54,2002,6.74623802776332e-6,Female,0.006746238027763319
Germany,50-54,2003,7.25901590165923e-6,Female,0.00725901590165923
Germany,50-54,2004,7.81981211093967e-6,Female,0.00781981211093967
Germany,50-54,2005,8.43953351001912e-6,Female,0.00843953351001912
Germany,50-54,2006,9.17976428651095e-6,Female,0.00917976428651095
Germany,50-54,2007,9.99157512225916e-6,Female,0.00999157512225916
Germany,50-54,2008,1.07896388891272e-5,Female,0.0107896388891272
Germany,50-54,2009,1.15045392865101e-5,Female,0.0115045392865101
Germany,50-54,2010,1.21187866964481e-5,Female,0.0121187866964481
Germany,50-54,2011,1.27830280507417e-5,Female,0.0127830280507417
Germany,50-54,2012,1.35080988784407e-5,Female,0.0135080988784407
Germany,50-54,2013,1.42501195202261e-5,Female,0.014250119520226099
Germany,50-54,2014,1.51681060605518e-5,Female,0.0151681060605518
Germany,50-54,2015,1.60607196015729e-5,Female,0.0160607196015729
Germany,50-54,2016,1.66221067646036e-5,Female,0.0166221067646036
Germany,50-54,2017,1.68931166617736e-5,Female,0.0168931166617736
Germany,50-54,2018,1.69933987740063e-5,Female,0.0169933987740063
Germany,50-54,2019,1.69083185604092e-5,Female,0.0169083185604092
