age,gender,deaths,pop,orphans,country,mortality
0-14,Female,1616,5667000,0,France,0.028515969648844185
0-14,Male,2072,5927000,0,France,0.03495866374219672
15-49,Female,8144,13927000,9307,France,0.05847634092051411
15-49,Male,16550,13775000,19215,France,0.12014519056261343
50-69,Female,37974,8470000,2552,France,0.4483353010625738
50-69,Male,72900,7889000,14133,France,0.9240714919508177
70+,Female,252164,5541000,0,France,4.550875293268363
70+,Male,205002,3933000,636,France,5.212356979405034
0-14,Female,4622,5564000,0,Colombia,0.08306973400431344
0-14,Male,5989,5822000,0,Colombia,0.10286843009275164
15-49,Female,11525,13634000,13075,Colombia,0.08453131876191873
15-49,Male,27972,13444000,32834,Colombia,0.2080630764653377
50-69,Female,24284,4848000,2204,Colombia,0.500907590759076
50-69,Male,33806,4232000,14280,Colombia,0.7988185255198488
70+,Female,62498,1557000,0,Colombia,4.014001284521516
70+,Male,62483,1203000,2143,Colombia,5.193931837073982
0-14,Female,1553,5836000,0,England & Wales,0.02661069225496916
0-14,Male,1939,6113000,0,England & Wales,0.03171928676590872
15-49,Female,8541,15010000,9189,England & Wales,0.05690206528980679
15-49,Male,14476,15135000,15626,England & Wales,0.09564585398083911
50-69,Female,36241,8321000,2482,England & Wales,0.4355365941593558
50-69,Male,53359,8025000,9192,England & Wales,0.6649096573208723
70+,Female,219200,5014000,0,England & Wales,4.371759074591145
70+,Male,195522,4080000,892,England & Wales,4.792205882352942
0-14,Female,1596,5484000,0,Germany,0.029102844638949674
0-14,Male,2017,5839000,0,Germany,0.034543586230518925
15-49,Female,9488,17023000,8030,Germany,0.05573635669388475
15-49,Male,17791,17887000,13429,Germany,0.09946329736680272
50-69,Female,62596,11934000,2875,Germany,0.5245181833417127
50-69,Male,111754,11646000,13255,Germany,0.9595912759745836
70+,Female,367900,7501000,0,Germany,4.904679376083189
70+,Male,327564,5596000,613,Germany,5.853538241601144
0-14,Female,834,3920000,0,Italy,0.02127551020408163
0-14,Male,1098,4161000,0,Italy,0.026387887527036767
15-49,Female,6061,12698000,5282,Italy,0.047731926287604344
15-49,Male,10563,12965000,7740,Italy,0.08147319706903201
50-69,Female,32122,8586000,2252,Italy,0.3741206615420452
50-69,Male,53127,8068000,8253,Italy,0.6584903321764998
70+,Female,253107,5792000,0,Italy,4.369941298342542
70+,Male,225397,4240000,230,Italy,5.3159669811320756
0-14,Female,14936,3906442,0,Malawi,0.38234280708634605
0-14,Male,17163,3812145,0,Malawi,0.4502189712091224
15-49,Female,15149,4267788,19599,Malawi,0.3549613992072708
15-49,Male,22531,3990836,61270,Malawi,0.564568426264572
50-69,Female,7416,622025,2220,Malawi,1.1922350387846148
50-69,Male,10808,548177,21820,Malawi,1.9716259529312612
70+,Female,11394,246034,0,Malawi,4.631067250867766
70+,Male,11379,170302,2235,Malawi,6.681659639933765
0-14,Female,14721,16390000,0,Mexico,0.089816961561928
0-14,Male,18387,17123000,0,Mexico,0.10738188401565148
15-49,Female,36703,34357000,42186,Mexico,0.10682830282038595
15-49,Male,94332,32800000,103026,Mexico,0.28759756097560973
50-69,Female,84131,10463000,7713,Mexico,0.8040810475007167
50-69,Male,115996,9211000,29312,Mexico,1.2593203778091413
70+,Female,161461,3200000,0,Mexico,5.04565625
70+,Male,156601,2550000,2577,Mexico,6.14121568627451
0-14,Female,3240,4092000,0,Peru,0.07917888563049853
0-14,Male,3949,4159000,0,Peru,0.09495070930512142
15-49,Female,6337,8475000,8993,Peru,0.07477286135693216
15-49,Male,11247,8464000,15544,Peru,0.1328804347826087
50-69,Female,11498,2626000,1922,Peru,0.43785224676313783
50-69,Male,14679,2497000,7426,Peru,0.5878654385262315
70+,Female,29479,898000,0,Peru,3.282739420935412
70+,Male,30044,762000,847,Peru,3.942782152230971
0-14,Female,964,2781000,0,Poland,0.03466379000359583
0-14,Male,1216,2927000,0,Poland,0.04154424325247694
15-49,Female,6074,8807000,4635,Poland,0.06896786646985352
15-49,Male,19188,9206000,15152,Poland,0.20842928524875082
50-69,Female,39229,5221000,890,Poland,0.7513694694502968
50-69,Male,80970,4670000,6133,Poland,1.7338329764453961
70+,Female,143908,2687000,0,Poland,5.355712690733159
70+,Male,109464,1565000,856,Poland,6.994504792332268
0-14,Female,15150,8121000,0,South Africa,0.1865533801256003
0-14,Male,18102,8299000,0,South Africa,0.21812266538137123
15-49,Female,64275,15363000,91276,South Africa,0.41837531732083577
15-49,Male,92434,15448000,141975,South Africa,0.5983557742102538
50-69,Female,58949,3911000,11152,South Africa,1.507261569930964
50-69,Male,78441,3338000,65053,South Africa,2.3499400838825646
70+,Female,71544,1078000,0,South Africa,6.636734693877551
70+,Male,49105,651000,4113,South Africa,7.543010752688171
0-14,Female,701,3318000,0,Spain,0.021127185051235686
0-14,Male,882,3530000,0,Spain,0.02498583569405099
15-49,Female,4821,10460000,4223,Spain,0.046089866156787763
15-49,Male,9054,10756000,7143,Spain,0.08417627370769803
50-69,Female,21601,6086000,1632,Spain,0.354929346040092
50-69,Male,45680,5837000,6791,Spain,0.7825937981839985
70+,Female,158199,3805000,0,Spain,4.157660972404731
70+,Male,150300,2772000,263,Spain,5.422077922077921
0-14,Female,13817,29919000,0,USA,0.0461813563287543
0-14,Male,17969,31279000,0,USA,0.05744748873045813
15-49,Female,81067,74773000,86712,USA,0.1084174768967408
15-49,Male,156667,76328000,142742,USA,0.20525495231107851
50-69,Female,290363,40901000,18150,USA,0.7099166279553067
50-69,Male,434174,39227000,56721,USA,1.1068243811660337
70+,Female,989107,19654000,0,USA,5.03259896204335
70+,Male,830210,15014000,4699,USA,5.529572399094178
